JOB_ID,JOB_TYPE,DEPTH_M,DIAMETER_MM,MATERIAL,LENGTH_M,JOB_COST
Job 1,Replace,2.19,200,ST,31.55,19847.6443
Job 2,Replace,2.27,63,AC,15.14,4476.588985
Job 3,Repair,3.64,450,ST,15.17,16871.48485
Job 4,Replace,2.28,200,AC,15.64,11158.1442
Job 5,Replace,2.4,200,ST,39.23,16913.61158
Job 6,Replace,4.32,200,AC,17.81,25821.70341
Job 7,Repair,3.34,50,AC,42.22,2263.508101
Job 8,Replace,3.19,50,CI,38,6496.162389
Job 9,Replace,3.3,200,AC,16.52,20776.75442
Job 10,Replace,2.01,90,CI,38.9,8451.187614
Job 11,Replace,1.48,315,CI,29.17,14472.12811
Job 12,Replace,1.13,90,CI,33.23,3936.872913
Job 13,Replace,1.32,125,AC,28.64,4803.46503
Job 14,Replace,3.97,50,AC,18.2,6715.047171
Job 15,Replace,1.79,50,AC,20.62,3360.933965
Job 16,Repair,3.25,90,CI,29.47,3760.81516
Job 17,Replace,2.13,125,CI,12.62,7763.034938
Job 18,Replace,4.46,125,AC,34.53,24152.00358
Job 19,Repair,2.72,450,CI,19.72,16618.3541
Job 20,Repair,1.78,315,ST,17.78,6000.263911
Job 21,Repair,4.46,63,CI,24.65,3179.626731
Job 22,Replace,3.27,63,AC,23.67,6727.571073
Job 23,Replace,2.41,90,AC,17.7,6830.50846
Job 24,Replace,3.4,63,AC,28.33,9538.069221
Job 25,Repair,2.89,90,AC,21.71,3003.181829
Job 26,Replace,4.47,90,AC,16.89,12055.53077
Job 27,Replace,3.83,315,CI,32.61,54847.55734
Job 28,Repair,2.75,125,AC,13.15,2716.7658
Job 29,Replace,2.09,63,AC,28.58,5037.133975
Job 30,Replace,1.21,125,AC,12.17,3645.694283
Job 31,Replace,4.3,250,AC,40.99,54173.12121
Job 32,Replace,1.13,90,CI,22.02,3710.03573
Job 33,Repair,2.99,63,CI,10.28,1827.985734
Job 34,Replace,1.46,63,AC,22.97,3134.259153
Job 35,Repair,2.64,250,AC,34.64,9510.574504
Job 36,Replace,1.98,63,AC,25.35,4093.644931
Job 37,Replace,1.89,90,ST,31.54,6862.608711
Job 38,Replace,2.27,250,ST,35.47,25538.37358
Job 39,Repair,1.61,250,AC,17.99,3779.711847
Job 40,Repair,1.74,63,AC,31.68,1526.968233
Job 41,Replace,2.67,315,ST,29.72,31882.25802
Job 42,Replace,2.49,63,ST,22.59,5677.874227
Job 43,Repair,2.56,90,ST,28.82,2996.001595
Job 44,Replace,2.95,200,AC,21.63,18090.57548
