JOB_TYPE,DEPTH_M,DIAMETER_MM,MATERIAL,LENGTH_M,JOB_COST
1,2.19,200,2,31.55,19847.6443
1,2.27,63,0,15.14,4476.588985
0,3.64,250,2,15.17,16871.48485
1,2.28,200,0,15.64,11158.1442
1,2.4,200,2,38.31,16913.61158
1,3.9,200,0,17.81,22423.13485
0,3.34,50,0,38.31,2263.5081010000004
1,3.19,50,1,38.0,6496.162389
1,3.3,200,0,16.52,20776.754419999997
1,2.01,90,1,38.31,8451.187614
1,1.48,250,1,29.17,14472.12811
1,1.45,90,1,33.23,3936.872913
1,1.45,125,0,28.64,4803.465029999999
1,3.9,50,0,18.2,6715.047170999999
1,1.79,50,0,20.62,3360.9339649999997
0,3.25,90,1,29.47,3760.81516
1,2.13,125,1,12.62,7763.034938
1,3.9,125,0,34.53,22423.13485
0,2.72,250,1,19.72,16618.3541
0,1.78,250,2,17.78,6000.263911
0,3.9,63,1,24.65,3179.626731
1,3.27,63,0,23.67,6727.571073
1,2.41,90,0,17.7,6830.508459999999
1,3.4,63,0,28.33,9538.069221
0,2.89,90,0,21.71,3003.181829
1,3.9,90,0,16.89,12055.53077
1,3.83,250,1,32.61,22423.13485
0,2.75,125,0,13.15,2716.7658
1,2.09,63,0,28.58,5037.133975
1,1.45,125,0,12.17,3645.694283
1,3.9,250,0,38.31,22423.13485
1,1.45,90,1,22.02,3710.0357299999996
0,2.99,63,1,12.17,1827.985734
1,1.46,63,0,22.97,3134.259153
0,2.64,250,0,34.64,9510.574504
1,1.98,63,0,25.35,4093.6449310000003
1,1.89,90,2,31.54,6862.608711
1,2.27,250,2,35.47,22423.13485
0,1.61,250,0,17.99,3779.711847
0,1.74,63,0,31.68,1749.84168
1,2.67,250,2,29.72,22423.13485
1,2.49,63,2,22.59,5677.874227
0,2.56,90,2,28.82,2996.0015949999997
1,2.95,200,0,21.63,18090.57548
0,3.02,50,1,23.91,1849.979023
0,2.87,125,0,15.13,3865.817271
1,1.45,200,0,34.31,10155.47528
1,1.45,50,0,22.74,2473.4294170000003
1,3.55,125,0,30.41,18469.6613
1,2.58,90,0,13.8,8089.005343000001
1,2.95,200,1,18.24,19848.33188
1,2.28,250,1,38.31,22423.13485
1,2.98,125,0,32.55,16971.92218
1,3.9,90,2,19.52,11620.26721
0,1.47,125,0,17.32,1749.84168
0,2.28,125,1,14.83,2803.471216
0,2.85,250,2,29.25,10926.007
1,3.63,250,1,34.22,22423.13485
1,1.94,63,0,22.01,4850.740992
1,1.88,90,1,15.09,4846.676321
1,3.04,63,1,38.31,9736.08112
1,3.9,125,1,20.3,18974.068919999998
1,3.9,63,0,35.32,9026.310431999998
0,2.26,90,0,36.66,3602.4712259999997
1,3.74,63,2,18.24,6107.779428
1,2.2,50,2,25.28,3586.980852
1,3.9,90,0,22.5,13983.181330000001
1,3.9,90,2,38.31,15121.200469999998
1,2.71,200,2,28.76,20299.41945
1,3.29,125,0,13.39,9305.373196999999
1,1.54,63,1,36.24,4546.611155
1,2.26,125,1,15.68,8458.305249
1,2.43,50,0,18.76,3887.9339579999996
1,2.78,50,1,26.18,5417.696612
1,2.41,63,2,17.39,4816.647272
1,1.74,90,0,21.04,4962.791716
0,2.96,90,0,21.34,2992.627377
1,3.01,125,0,38.31,14025.79495
0,1.69,50,1,17.13,1749.84168
0,3.33,63,2,26.85,3164.26224
1,3.9,63,2,19.27,8678.999619
1,2.43,90,1,27.48,9669.882307
1,2.28,250,2,32.28,20934.56029
1,2.48,125,0,16.45,9378.035264
1,3.49,200,0,17.59,21254.39061
1,3.25,125,0,38.31,17270.89514
1,3.9,250,1,38.31,22423.13485
1,3.59,50,0,34.46,8681.307588
1,2.4,125,1,18.06,9445.388623
1,1.67,90,0,22.98,5530.159565999999
1,3.59,63,0,27.39,9485.710006
1,2.68,250,0,15.02,22423.13485
1,2.81,50,0,34.16,7163.229939
0,2.51,200,2,36.47,8161.196939
0,2.04,90,0,17.61,2080.916693
0,2.33,63,1,16.33,1749.84168
1,3.9,90,1,32.4,15098.68441
0,3.9,250,1,12.4,10058.874240000001
0,1.45,90,0,15.4,1749.84168
0,2.39,63,0,16.16,1749.84168
1,3.61,50,0,12.17,4582.118613000001
0,3.9,63,0,20.0,3348.538353
1,3.23,50,2,38.31,6679.716127000001
1,3.11,250,0,36.53,22423.13485
1,1.87,125,1,34.42,8545.754406
0,3.42,90,1,33.97,3470.9996659999997
1,2.7,250,1,38.31,22423.13485
1,2.51,63,0,20.21,6149.005506
1,3.05,125,2,22.76,11925.494009999999
1,2.9,125,0,33.79,15055.31721
0,2.7,90,0,23.01,3036.6721420000003
0,2.42,90,0,15.08,1749.84168
0,3.31,125,0,22.4,3946.311144
1,3.9,50,0,20.8,8044.603327
1,2.19,125,0,29.44,11330.57577
1,3.9,250,2,32.92,22423.13485
1,3.17,200,1,28.32,20578.464490000002
1,3.9,250,0,16.67,22423.13485
0,3.47,125,0,29.01,5347.000857
1,2.16,250,1,34.41,22423.13485
0,2.15,90,0,21.51,2532.795678
1,2.04,90,2,12.17,4780.497469
0,1.96,250,0,38.31,10438.20873
1,3.19,63,0,17.92,6553.9980049999995
0,3.29,250,1,24.22,9759.291352
1,3.9,90,2,17.18,10233.78171
1,2.82,250,1,38.31,22423.13485
1,3.42,125,0,18.31,12818.859709999999
1,2.37,63,0,32.48,5866.1968799999995
1,2.74,63,0,19.64,5485.320002
0,1.45,125,1,38.31,2624.6790920000003
1,2.19,250,1,18.82,22423.13485
1,2.55,90,2,16.88,5423.746370000001
1,2.07,63,0,32.44,5047.359976
1,2.64,50,0,14.18,4061.540932
1,1.89,90,0,25.57,5716.516701
1,2.58,125,0,24.25,12139.62549
0,3.66,125,1,12.17,3854.5056289999998
1,3.9,63,0,25.66,12666.536909999999
1,3.9,63,1,28.06,10562.976209999999
0,3.22,200,0,34.92,11092.57447
0,2.69,250,1,38.31,9898.173324
1,1.69,200,2,16.63,10466.52103
1,3.14,200,0,30.64,19918.69921
0,2.41,50,2,38.31,1975.8517789999999
1,3.9,200,0,26.48,22423.13485
0,1.45,250,0,12.17,2747.428036
0,2.29,63,1,19.56,1749.84168
1,1.45,200,0,17.88,8507.866645
0,2.62,90,0,36.23,3311.38499
1,2.24,63,0,33.92,5257.879893
1,2.31,90,1,20.1,7037.554659
0,2.33,50,1,27.87,1749.84168
0,1.83,125,2,31.17,2574.895094
1,2.29,63,0,37.97,6968.321072
1,2.31,90,0,16.76,6363.736776
0,1.71,63,0,38.31,1749.84168
1,2.96,250,0,27.64,22423.13485
1,2.83,90,0,24.98,9145.436156
1,1.45,63,2,34.64,3102.120129
0,2.23,125,1,30.28,3328.775691
1,1.8,200,0,23.74,10085.39803
1,3.58,63,0,25.54,8540.425975
1,2.99,90,1,29.97,12298.627359999999
1,3.9,63,1,34.66,11960.54738
0,2.65,90,0,38.31,3817.6822420000003
0,2.31,63,1,12.17,1749.84168
1,3.03,250,2,28.96,22423.13485
1,1.9,250,2,30.86,18858.77204
0,2.86,90,0,29.26,3185.364177
1,3.6,90,0,33.6,10590.22409
0,2.55,125,2,24.65,3640.0135200000004
1,2.39,90,2,29.79,8531.007533
1,2.33,90,0,22.55,7581.444565000001
1,2.24,90,0,19.78,5604.914867
1,1.76,125,1,16.71,5860.665427
1,2.9,90,0,19.96,10255.4937
1,1.81,63,0,21.57,3121.895714
1,1.64,90,0,14.0,4182.539807
1,3.43,90,1,24.81,10439.357890000001
1,3.42,50,1,21.06,6642.817526
1,2.95,200,0,13.62,14556.468630000001
0,2.8,125,1,16.85,3816.0172979999998
0,3.71,90,0,14.9,3973.8753490000004
1,1.92,250,0,19.6,22423.13485
1,3.72,90,2,19.33,10832.50322
0,3.17,63,1,38.31,3065.5657109999997
1,3.59,63,2,15.31,6570.563411
1,3.77,125,0,16.38,17204.85641
1,3.41,90,0,17.48,10215.487140000001
1,1.91,63,1,30.09,5236.7690299999995
0,2.96,90,0,38.31,3901.683935
1,2.77,125,2,32.22,14850.414690000001
0,1.88,90,0,25.44,2186.319041
1,1.68,250,0,25.43,18254.83638
0,2.0,250,1,23.46,6212.334878000001
1,2.66,90,0,31.34,9308.218095999999
